"segID" "uniqueID" "xcen" "ycen" "xmax" "ymax" "RAcen" "Deccen" "RAmax" "Decmax" "sep" "flux" "mag" "flux_app" "mag_app" "cenfrac" "N50" "N90" "N100" "R50" "R90" "R100" "SB_N50" "SB_N90" "SB_N100" "xsd" "ysd" "covxy" "corxy" "con" "asymm" "flux_reflect" "mag_reflect" "semimaj" "semimin" "axrat" "ang" "signif" "FPlim" "flux_err" "mag_err" "flux_err_sky" "flux_err_skyRMS" "flux_err_shot" "flux_err_cor" "cor_seg" "sky_mean" "sky_sum" "skyRMS_mean" "Nedge" "Nsky" "Nobject" "Nborder" "Nmask" "edge_frac" "edge_excess" "flag_border" "iter" "origfrac" "Norig" "skyseg_mean" "flag_keep"
"1" 1 222149 220.908261580867 148.448321769673 221.5 148.5 352.286629932353 -31.8250811090959 352.286564351195 -31.8250762402454 0.201362852062451 2987038.30203575 13.81189802128 571736.651343728 15.6070099157993 0.0314874081439932 28.4662180008749 149.340866349947 1563 1.08644807880151 2.48847581343881 8.05051344798964 15.8512958433311 17.0127368192001 19.4477938718203 3.5188273438045 3.52113577634491 1.55540361752363 0.125534291162029 0.436591777558873 NA NA NA 3.74553463307763 3.30426693888044 0.882188328923659 135.149659109666 Inf 2.24660243722068 384.960090088974 0.000139926263051831 171.784462410161 344.505978809894 0 0 0 -0.254384704838779 -397.603293663011 8.71382573901789 NA NA NA NA NA NA NA NA 0 1 1563 6.73759168482535 TRUE
"2" 2 227142 227.085533900283 140.39474170149 226.5 141.5 352.285945270083 -31.8258394602617 352.286010170516 -31.8257353845492 0.424013759114442 988238.71727852 15.012845338242 206128.98876583 16.7146523182748 0.0340028593590304 24.8317981089146 137.790200112301 1157 1.10586099834751 2.60498737409192 7.54854305914522 16.9039391544655 18.1262832972927 20.3221771411138 3.80058916934292 3.5681476572325 3.85568206703262 0.284320039672881 0.424516836183516 NA NA NA 4.19774432784793 3.1179744957201 0.742773797593005 128.738556328202 Inf 2.36033523701286 316.742889349727 0.000347992055516455 121.994007675244 292.307235704055 0 0 0 0.0561255639725792 64.9372775162742 8.59350295820364 NA NA NA NA NA NA NA NA 0 1 1157 8.54019121296228 TRUE
"3" 3 194148 193.431889546722 148.101268236965 193.5 147.5 352.289675093739 -31.825113868273 352.289667544077 -31.8251704875917 0.205133518489916 58303.1865178711 18.0857692713654 10241.1168872796 19.9741316924992 0.0297091117861693 34.9354916489926 227.205061600849 457 1.22047772176174 3.11247181747146 4.4142256156741 20.3475098147232 21.7422064088062 22.3865581770323 3.45897061926883 3.96999521186249 0.944663270957239 0.0687923545077294 0.392124906934337 NA NA NA 4.0082749161182 3.43885716248781 0.857939446383622 166.771044802329 Inf 2.68690055969696 189.073517736984 0.00352097330915349 29.3247672127002 186.785580646255 0 0 0 -0.476991089299561 -217.984927809899 8.73741612260484 NA NA NA NA NA NA NA NA 0 1 457 8.25444035768509 TRUE
"4" 4 122001 120.838975733485 2.05723624414966 121.5 0.5 352.297721387717 -31.8388662048763 352.297648126384 -31.8390128481822 0.573495185789218 4696.55239593812 20.8205520705005 1691.97404003027 21.929015761573 0.0706833228526429 13.2885501627838 64.9408762544528 152 0.932658082310088 2.06178193556766 3.15431783859936 22.0328194655438 23.1172395631775 23.9261594458548 3.32707728386958 1.84653680292783 0.242690490443933 0.0395031658682629 0.452355346712892 NA NA NA 3.34072720481878 1.86690916232999 0.558833166514492 91.8129289513637 Inf 3.03583737290209 105.388306978076 0.0243633820721817 5.32803028150083 105.253538377693 0 0 0 0.225900485926833 34.3368738608786 8.53718129837501 NA NA NA NA NA NA NA NA 1 0.94479403431062 86 0.424954996885438 TRUE
"5" 5 175133 174.974752527286 132.812449853565 174.5 132.5 352.29172067357 -31.8265535771592 352.291773290573 -31.8265829993931 0.192668599709764 28579.7774733787 18.8598528925418 1595.64656204346 21.9926582479281 0.0088348957817046 106.106035247185 364.987827811989 536 2.71343825879582 5.03256150432483 6.09863013626771 22.3277765047233 23.0309409773425 23.3337632722661 5.86899275765548 5.20798085803299 -17.053365595922 -0.557926705668116 0.539176372998914 NA NA NA 6.95049020585692 3.66408148999686 0.527168786873375 51.0581598131881 Inf 2.63319696210645 207.73838739439 0.00789191198294851 47.6511946365995 202.199409610727 0 0 0 -0.615343730931003 -329.824239779018 8.73363587177632 NA NA NA NA NA NA NA NA 0 1 536 6.27556395545602 TRUE
"6" 6 178179 177.993087424763 178.317073553404 177.5 178.5 352.29138615358 -31.8222685588984 352.2914408 -31.822251333337 0.178288628471533 42684.9052607667 18.4243141953968 1524.47256904572 22.0422009645195 0.00531004193800322 166.492167063429 546.839928617626 820 4.63620001658551 8.40224556426004 10.2889767846822 22.3813721053584 23.0343568721382 23.3598472318485 8.78093637883466 8.66128508149016 -64.8183060673715 -0.852264724526052 0.551781066279013 NA NA NA 11.8731373182214 3.36422053894268 0.283347227339794 45.4611547196978 Inf 2.48540848682621 261.713324871985 0.00665695824660326 62.6163193431805 254.112299913762 0 0 0 -0.658892057285081 -540.291486973766 8.87381163380081 NA NA NA NA NA NA NA NA 0 1 820 4.92188738386199 TRUE
"7" 7 175257 174.762173240763 257.603674958476 174.5 256.5 352.291744195149 -31.8148024039222 352.291773248526 -31.8149063332361 0.384557081683243 8014.09345589309 20.2403639934337 1375.96186787646 22.1534840039146 0.0277976212077131 31.6365148271652 112.477783333282 185 1.15889060326087 2.18515122862386 2.80242493487158 22.3944089737991 23.1334229974775 23.5592917199336 2.79520088407329 2.96536641387408 1.13820391261945 0.137318384289697 0.530348008906779 NA NA NA 3.10255577037277 2.67345475042746 0.861694341148377 146.648661229829 Inf 2.97609389488646 125.219963966922 0.0169645948335457 4.80051792312167 125.127912168098 0 0 0 -0.853955098408275 -157.981693205531 9.19958019177771 NA NA NA NA NA NA NA NA 0 1 185 0.987897755942874 TRUE
"8" 8 155320 154.018078125471 319.78377593891 154.5 319.5 352.294042808841 -31.8089470854061 352.293989408286 -31.8089738087129 0.189590868881336 5946.50397600912 20.564345715996 972.442347485151 22.5303403423868 0.0271310345497892 34.6164594838701 127.678647737479 296 1.18718460838555 2.28000642679493 3.47154492280065 22.8161257278121 23.5950335337827 24.3935733991357 3.28333967578871 3.33835797813231 -1.16412303996716 -0.106206272072745 0.520693535962708 NA NA NA 3.49629782944508 3.14126114237348 0.898453534455342 40.5533513608532 Inf 2.82887956303851 155.894487992181 0.0284638319285103 5.59415240830087 155.794084756697 0 0 0 -0.631600993179772 -186.953893981212 9.05528908101649 NA NA NA NA NA NA NA NA 1 0.94472299233097 167 1.93268921133131 TRUE
"9" 9 149074 148.563949314208 73.6729265214121 148.5 73.5 352.294647980451 -31.8321225087163 352.294655068958 -31.8321387924513 0.0625021627314899 4463.56805199225 20.8757945988594 959.728751399693 22.5446287361926 0.0386502996204794 24.1369661608199 89.489150302025 206 0.989675181775175 1.90562100391025 2.89124536088959 22.7360746974328 23.5206126919598 24.3114610552747 2.83840973022245 2.74216997087317 0.768058168843103 0.0986789807364413 0.519345231682694 NA NA NA 2.94703507300363 2.65663638540664 0.901460729036722 125.364399460672 Inf 2.94296495459868 124.539623403491 0.0302935177600263 7.83087431875808 124.293182455383 0 0 0 -0.436329895930164 -89.8839585616138 8.65991322200383 NA NA NA NA NA NA NA NA 1 0.902328104484774 102 1.49018059420632 TRUE
"10" 10 48308 47.911750849716 307.662322935251 47.5 307.5 352.305800524599 -31.8100877425586 352.305846153255 -31.8101030228362 0.150038612806018 4081.92165229765 20.9728383382839 758.627740839394 22.7999282011 0.031369987124216 27.5047669032105 92.5978005190585 223 1.12351920311843 2.06146920184452 3.19910833179571 22.9749316548165 23.6547321476339 24.4945989013967 3.09995437470327 2.90142406718007 -1.9392809371178 -0.215612640068794 0.545008968415901 NA NA NA 3.33557221911286 2.65868451944495 0.797069991232887 53.5382176960779 Inf 2.9183291733374 135.185733289891 0.0359575850548218 9.43484868105584 134.856094098454 0 0 0 -0.153996202088935 -34.3411530658324 9.03052703859404 NA NA NA NA NA NA NA NA 1 0.907497229219901 108 1.76917932993543 TRUE
